ProductID,Tier
377685,
377688,
377689,
377690,
377694,
377710,
377733,
377743,
377744,
377745,
377748,
377749,
377751,
377752,
377754,
377757,
377760,
377762,
377765,
377767,
377769,
377771,
377773,
377774,
377777,
377800,
377801,
377803,
377804,
377805,
377806,
377807,
377808,
377810,
377812,
377813,
377815,
377817,
377819,
377820,
377822,
377823,
377824,
377826,
377827,
377829,
377830,
377831,
377832,
377833,
377836,
377837,
377838,
377839,
377840,
377844,
377845,
377846,
377848,
377850,
377852,
377859,
377860,
377861,
377862,
377865,
377867,
377868,
377869,
377871,
377872,
377873,
377874,
377879,
377885,
377886,
377888,
377891,
377892,
377893,
377894,
377895,
377896,
377897,
377898,
377901,
377905,
377909,
377910,
377911,
377912,
377913,
377914,
377916,
377919,
377921,
377923,
378,
378043,
378044,
378045,
378046,
378048,
378049,
378050,
378051,
378055,
378056,
378058,
378060,
378062,
378063,
378064,
378067,
378071,
378076,
378077,
378079,
378081,
378083,
378085,
378086,
378537,
378705,
378822,
379055,
379059,
379625,
379626,
379636,
379659,
379717,
379721,
380134,
380135,
380136,
380138,
380139,
380140,
380141,
380142,
380143,
380144,
380145,
380146,
380147,
380211,
380649,
380661,
380796,
380797,
380798,
380801,
380804,
380806,
381089,
381169,
381171,
381329,
381330,
381556,
381558,
381559,
381746,
381749,
382222,
382746,
383714,
383744,
383759,
383763,
383764,
383769,
383790,
383808,1.0
383810,
383818,
383821,
383979,
383996,
384014,
384291,
384309,
384434,
385674,
385719,
385720,
387307,
387309,
387310,
387696,
387697,
3879,
388134,
388135,
388421,
388423,
388424,
388425,
388443,
388445,
388448,
388452,
388459,
388464,
388665,
388725,
389862,
389863,
390556,
390558,
390560,
390566,
390569,
390570,
390577,
390578,
390580,
390590,
390592,
390596,
390600,
390607,
390637,
390638,
390639,
390640,
390649,
390650,
390651,
390653,
390657,
390904,
390919,1.0
390922,1.0
391063,
391065,
391610,
391761,
391762,
391828,
391830,
391831,
391903,
392030,
392617,
393427,1.0
393445,
395604,
395663,
395667,
395669,
395677,
395678,
395681,
395684,
395687,
395711,
395720,
395723,
395724,
396,
396144,
396162,
396236,
397952,
399180,
399528,
399750,
399757,
399759,
399762,
399767,
399816,
399817,
399821,
399823,
399825,
399826,
399839,
400290,
400835,
400841,
400949,
401639,
402,
402604,
402620,
402621,
402622,
402624,
402625,
402636,
402650,
402657,
402658,
402660,
402670,
402677,
402679,
402681,
402943,
403137,
403199,
403210,
403211,
403213,
403561,
403562,
403808,
404385,
404670,
405453,
405747,
405944,
406432,
407194,
407246,1.0
407248,
407253,2.0
407255,
408008,
408014,
408177,
408182,
408188,
408193,
408195,
408205,
408211,
408219,
408230,
408245,
408299,
408307,
408308,
408309,
408328,
408330,
408338,
408339,
408340,
408348,
408352,
408356,
408357,
408375,
408382,
408384,
408385,
408392,
408394,
408399,
408401,
408403,
408407,
408409,
408410,
408411,
408707,
409398,
409538,
409566,
411334,1.0
411337,
411340,
411348,
411353,
411583,
411584,
411586,
411589,
411590,
411593,
411594,
411779,
411808,1.0
411812,1.0
411813,1.0
411814,1.0
411826,
411941,
411942,
411950,
411954,
412025,
412328,
412336,
412610,
412615,
412619,
412693,
412705,
412739,
412794,1.0
412795,1.0
412812,
412813,1.0
413282,2.0
413284,2.0
414632,
414648,
416147,
